	birthdate	current_location	blood_group	name	address	company	ssn	sex	race
1833	22 Jan 1984	(Decimal('55.297273'), Decimal('166.031227'))	A-	Benjamin Freeman	"4836 Lawson Motorway Apt. 268
Terriview, VT 44411"	Phillips, Rodriguez and Baker	868-52-2799	M	Black
1834	06/25/1915, 00:00:00	(Decimal('75.164389'), Decimal('64.979275'))	O+	Ann Gonzales	"80290 Andrea Bridge Apt. 593
Townsendborough, IL 89598"	Brock and Sons	006-09-4068	F	White
1835	07/14/1921, 00:00:00	(Decimal('75.4578215'), Decimal('102.215587'))	B+	Jeffrey Evans	"49226 Martin Fork
Belindafort, MT 39040"	Esparza PLC	737-38-1841	M	Black
1836	16 Aug 1954	(Decimal('-53.704841'), Decimal('40.479297'))	AB+	Paul Caldwell	"46564 Carol Village Apt. 656
North Christine, TX 98737"	Gordon-Young	598-88-4573	M	White
1837	10/05/1924, 00:00:00	(Decimal('14.5306645'), Decimal('92.441785'))	AB+	Christian Horton	"684 Colin Crescent
West John, WV 28439"	Robinson and Sons	360-72-4767	M	Hawaiian
1838	04 May 1942	(Decimal('-47.377792'), Decimal('-70.026293'))	AB-	Whitney Small	"534 Hendrix Wall
Michelleview, NV 60229"	Woods-Washington	095-57-4673	F	Black
1839	28 Oct 1947	(Decimal('-8.159507'), Decimal('-18.347293'))	B+	Kayla Meyer	"4706 Church Row
Lake Lynnshire, AZ 16157"	Martinez PLC	082-15-4304	F	black
1840	02 Jun 1985	(Decimal('-21.2897205'), Decimal('-120.776944'))	O+	Nathan Cortez	"PSC 2483, Box 1491
APO AA 47281"	Gordon LLC	092-24-6767	M	White
1841	1916/09/01	(Decimal('5.934218'), Decimal('-150.978715'))	AB+	Maria Ingram	"15858 Abigail Island Apt. 875
East Jessica, HI 06136"	Miller-Brown	780-60-6435	F	White
1842	1937/11/28	(Decimal('24.1928265'), Decimal('0.537186'))	A+	Stuart Hurst	"330 Jones Plains
West David, ND 70854"	Wright LLC	607-16-9260	M	White
1843	09/02/1914, 00:00:00	(Decimal('14.455880'), Decimal('179.209284'))	O+	Curtis Elliott	"4022 Taylor Parkway Apt. 747
South Eric, IL 10358"	Gardner-Phillips	165-02-8755	M	White
1844	1930/12/29	(Decimal('4.462393'), Decimal('-73.335688'))	A-	Diane Walker	"757 Cassandra Brook Suite 571
Norrisburgh, UT 67727"	Hines-King	370-95-6004	F	Asian
1845	02 Jun 2020	(Decimal('-66.6956095'), Decimal('40.328471'))	O-	Kathleen Klein	"38837 Morgan Centers
Robertsfurt, MI 91295"	Fernandez-Hanson	591-60-2726	F	White
1846	1942-07-09	(Decimal('-72.532667'), Decimal('-91.187853'))	B+	Shirley Anderson	"039 Joseph Landing Suite 294
Lake Ashley, OR 27386"	Berry-Nelson	636-02-0466	F	White
1847	01/07/1990, 00:00:00	(Decimal('-20.762066'), Decimal('-84.369006'))	O-	Rita Munoz	"486 Alvarez Avenue
Osbornemouth, KY 52381"	Lang-Peterson	827-78-3726	F	Black
1848	2002-04-27	(Decimal('-14.780521'), Decimal('-154.995002'))	AB+	Kathryn Miles	"8296 Sarah Lodge
Serranobury, MS 88944"	Torres, Bonilla and Scott	869-67-5484	F	Black
1849	1942/12/04	(Decimal('-72.5272135'), Decimal('172.026464'))	A-	Michelle Williams	"38892 Travis Brooks Apt. 877
South Michellechester, WY 79498"	Stark Inc	718-67-3111	F	Black
1850	1909-08-01	(Decimal('49.4521685'), Decimal('89.416070'))	O-	Courtney Anderson	"418 Peter Unions
Ryanburgh, CT 88860"	Ramirez PLC	652-93-3217	F	White
1851	1921-01-03	(Decimal('-10.1347745'), Decimal('117.588677'))	A-	Brian Allen	"74975 Heather Garden Suite 309
Port Benjaminchester, MN 67187"	Davis-Garcia	746-66-9754	M	Black
1852	2007/02/13	(Decimal('60.5639685'), Decimal('-72.091903'))	O-	Megan David	"9760 Nielsen Via Suite 573
West Scott, KY 41140"	Miller-Shepherd	284-42-2020	F	White
1853	12 Sep 1928	(Decimal('78.437967'), Decimal('-56.283191'))	B-	Jody Bennett	"063 Wolf Meadow
Lake Daniel, KS 40684"	Berg-Richardson	560-70-7345	F	White
1854	10 Jul 2005	(Decimal('87.622275'), Decimal('-58.158360'))	O-	Daniel Campos	"3864 Stephen Mall Suite 337
East Ronald, NM 46892"	Newman-Sanders	243-04-4606	M	Black
1855	01/08/1932, 00:00:00	(Decimal('64.0386005'), Decimal('7.195560'))	AB+	Brooke Clark	"1349 Mathews Orchard
Jacobsbury, NV 05406"	Miller-Gross	709-40-4550	F	Black
1856	09/07/1974, 00:00:00	(Decimal('59.740721'), Decimal('22.883223'))	AB-	Mark Cruz	"57752 Gutierrez Ways Suite 488
Lake Gregory, AK 54153"	Phillips PLC	552-62-1579	M	White
1857	11/15/1936, 00:00:00	(Decimal('40.5994915'), Decimal('152.147742'))	A+	Heidi Garcia	"384 Brenda Ramp
Contrerasbury, TN 44689"	Perry Group	206-45-1450	F	White
1858	05 Sep 1928	(Decimal('-80.4248635'), Decimal('107.550322'))	O-	Patricia Williams	"0519 Chandler Hills Apt. 577
Elizabethmouth, CT 29087"	Moore-Wright	074-16-1859	F	Black
1859	10/24/2004, 00:00:00	(Decimal('-53.3202505'), Decimal('-147.066862'))	O-	Matthew Smith	"461 Fischer Alley Suite 663
New Jacob, ND 75749"	Jensen PLC	374-70-6737	M	White
1860	1991/01/12	(Decimal('-53.8861485'), Decimal('-39.897562'))	B-	Christina Myers	"658 Alyssa River
New James, KY 50380"	Frederick Group	707-77-3820	F	White
1861	2017/10/28	(Decimal('-40.282475'), Decimal('-15.275110'))	AB+	April Rivera	"297 Donna Burgs
South Abigail, ND 90611"	Dunn, Beltran and Perez	822-76-9553	F	Indian
1862	1976-04-06	(Decimal('-38.451154'), Decimal('58.085677'))	A-	Sandy Brooks	"Unit 3404 Box 1287
DPO AP 69645"	Santos PLC	319-89-0191	F	Hawaiian
1863	02/10/2003, 00:00:00	(Decimal('-5.191383'), Decimal('-59.625536'))	B+	Angel Wallace	"917 Ward Summit Suite 447
Delgadomouth, OK 66712"	Wright, Rowe and Mueller	220-53-7848	M	Black
1864	31 Oct 1961	(Decimal('35.375996'), Decimal('177.667056'))	O-	Kevin Woods	"9540 Andrews Creek
West Benjaminton, AL 49636"	Johnson and Sons	356-59-0983	M	Black
1865	2011/03/13	(Decimal('-14.7470305'), Decimal('166.332898'))	A+	Gary Anderson	"PSC 5134, Box 6986
APO AP 42242"	Randolph-Ward	015-10-5460	M	Black
1866	1945-01-22	(Decimal('-77.977851'), Decimal('-24.695186'))	AB+	Philip Bailey	"0627 Nathan Mills
Joelview, AR 25517"	Johnson Group	765-97-4425	M	White
1867	1968/02/04	(Decimal('17.6740925'), Decimal('133.911178'))	O-	Lynn Smith	"169 Joseph Roads Suite 621
Gibbsbury, MO 76329"	Wolf-Stewart	374-62-9343	F	White
1868	12/25/1909, 00:00:00	(Decimal('-68.0915665'), Decimal('101.009433'))	B-	Jason Ortega	"7111 Wilson Crossroad Suite 735
Jasminfurt, AK 01947"	Pierce, Fry and Shelton	647-65-5424	M	White
1869	1974-12-25	(Decimal('39.6036025'), Decimal('143.234194'))	B+	Derek Vaughn	"3405 Young Shore
South Shelby, CA 17657"	Hayes, Williams and Tran	577-25-5679	M	White
1870	14 Sep 2017	(Decimal('-77.304539'), Decimal('-120.640563'))	AB-	Terri Hicks	"559 Craig Island Suite 806
East Margaretland, MO 96886"	Williams-Vance	865-89-7693	F	Black
1871	1985/08/13	(Decimal('67.8752985'), Decimal('151.533731'))	AB+	William Fritz	"340 Casey Haven Apt. 509
West Jaredburgh, MA 12916"	Price Inc	317-38-9147	M	White
1872	1962/03/22	(Decimal('68.4186465'), Decimal('-76.072690'))	A-	David Hernandez	"90156 Kelly Square Suite 743
South Danielle, UT 20028"	Boyd LLC	370-73-3592	M	black
1873	1989-06-12	(Decimal('-73.1186405'), Decimal('-157.155304'))	B+	Jessica Jackson	"13067 Gibson Path Suite 295
North Jacquelinemouth, SC 23415"	Ross Inc	573-99-6781	F	Asian
1874	1990/02/19	(Decimal('78.876474'), Decimal('23.659817'))	B+	Karen Rivera	"20907 Smith Spurs Apt. 800
South David, IL 49192"	Morris Inc	853-40-1568	F	White
1875	29 Dec 1960	(Decimal('54.886106'), Decimal('-143.965158'))	B-	Carlos Gordon	"621 Levine Ford Suite 436
East Taylortown, MD 13139"	Mcdonald-Rubio	100-01-0759	M	Black
1876	27 Feb 1912	(Decimal('-25.280600'), Decimal('-174.385785'))	O+	Nicole Trujillo	"11953 Mann Skyway Suite 394
Eatonburgh, UT 45268"	Downs, Thornton and Perez	720-26-7547	F	White
1877	06 Nov 1959	(Decimal('55.825281'), Decimal('29.530501'))	O-	Adam Horn MD	"160 Martinez Pine Suite 074
South Christian, NC 57180"	Miller Ltd	699-56-5996	M	Black
1878	2007-09-07	(Decimal('-0.743271'), Decimal('29.270186'))	AB+	Christopher Leon	"446 David Club Suite 166
North Travis, IA 33557"	Austin, Crawford and Bryan	200-59-3881	M	Black
1879	30 May 1950	(Decimal('76.868957'), Decimal('61.287928'))	A-	Deborah Wilson	"90909 Timothy Flat
Jamesburgh, VA 78810"	Jacobs, Dean and Oliver	632-61-1845	F	Hawaiian
1880	2007/10/10	(Decimal('-58.080066'), Decimal('91.952470'))	AB-	Mr. Steven Moyer	"0678 Christian Extension
North David, NV 61326"	Tucker-Abbott	115-58-6656	M	White
1881	2002-01-17	(Decimal('-8.224768'), Decimal('2.593596'))	O+	Jeffrey Carter	"697 Knox Spurs
West Lee, CT 78103"	Harris, Allen and Scott	565-98-1649	M	black
1882	1975-09-20	(Decimal('70.4725405'), Decimal('-172.969670'))	O-	Austin Ross	"86051 Nicole Flat
Lake Anthonychester, MN 33985"	Smith, Hoffman and Washington	603-96-6636	M	Black
1883	1992-05-24	(Decimal('56.961389'), Decimal('4.198364'))	A-	Sara Yu	"0507 Pratt Isle Suite 144
Sotoside, VA 09906"	Maynard, Terry and Garner	007-04-2802	F	Asian
1884	25 Sep 1957	(Decimal('48.300548'), Decimal('-39.716151'))	B-	Kristi Kemp	"9078 Hines Hill
Hurstside, AZ 49968"	Spears, Munoz and Marshall	082-99-6017	F	Black
1885	1965-01-27	(Decimal('-36.158046'), Decimal('27.969512'))	B+	John Crawford	"8363 Ferrell Center
Lunatown, HI 43099"	Mckinney-Huang	077-12-8969	M	Asian
1886	01/18/1952, 00:00:00	(Decimal('-18.4074855'), Decimal('-170.215881'))	O-	Christine Santos	"0454 Phelps Islands
North Thomas, AL 50186"	Rich, Hicks and Sharp	865-32-2461	F	Black
1887	05 Nov 1942	(Decimal('-42.370977'), Decimal('95.242733'))	O+	Nicholas Dunn	"78084 Thomas Island Suite 201
Priceside, NJ 13840"	Holloway, Obrien and Farmer	408-35-6038	M	White
1888	04 Dec 1969	(Decimal('-0.5794385'), Decimal('-116.386052'))	AB+	Scott Hill	"2732 John Creek
South Breannachester, WY 58917"	Mejia, Watson and Marsh	440-49-9574	M	White
1889	10/24/1961, 00:00:00	(Decimal('40.8237715'), Decimal('120.113679'))	A+	Michael Lawson	"9461 Shah Overpass
Lake Jeffreybury, MA 45565"	Peterson-Ramirez	487-38-9993	M	Indian
1890	1977/07/17	(Decimal('40.5421015'), Decimal('-50.820797'))	AB+	Dennis Benson	"0253 Robertson View
Yangborough, IN 98880"	Hodges, Ponce and Garcia	191-49-9590	M	White
1891	2000-12-08	(Decimal('66.759556'), Decimal('49.500050'))	A+	Charlotte Brown	"8702 Hurst Track Suite 761
Carlsonfurt, FL 57701"	Clark Ltd	875-47-5194	F	Hawaiian
1892	17 Oct 1920	(Decimal('21.0855215'), Decimal('68.709046'))	B+	Juan Lyons	"558 King Ford
East Terri, HI 51207"	Moore, Carter and Raymond	667-18-0845	M	Asian
1893	14 Nov 1977	(Decimal('-86.2601665'), Decimal('93.136170'))	O-	Jorge Flores	"7589 Garcia Road
North Angela, TN 64324"	Fernandez Group	193-26-5342	M	White
1894	1968-01-31	(Decimal('3.5921415'), Decimal('49.174024'))	AB-	Tiffany Palmer	"641 Mary Camp Suite 468
West Alicia, LA 73140"	Webster, Perez and Charles	591-78-2521	F	White
1895	2001/09/27	(Decimal('-4.0433125'), Decimal('10.445232'))	AB-	Elizabeth Hicks	"9467 Ethan Freeway
Lake Williamfort, NJ 68146"	Murphy and Sons	254-36-7611	F	White
1896	1981-02-24	(Decimal('-28.279729'), Decimal('-25.948137'))	AB+	Amy Coleman	"9228 Kimberly Villages Suite 091
Alexanderview, WI 43066"	Price, Sims and Fowler	290-13-8620	F	Black
1897	08/05/2015, 00:00:00	(Decimal('11.5553045'), Decimal('-2.940297'))	A+	Christopher Smith	"198 Holly Via
Shafferbury, KY 79250"	Clark-Wilson	607-09-7920	M	White
1898	15 Apr 1915	(Decimal('25.591469'), Decimal('89.582821'))	B+	Brett Mcpherson	"842 Barbara Green
East Nicholasfort, GA 65027"	Williams Ltd	410-03-6038	M	Black
1899	1917-07-03	(Decimal('60.4135405'), Decimal('-39.372651'))	O-	Michelle Washington	"04259 Dunlap Unions
Port Joseph, HI 50843"	Cooper LLC	423-52-0433	F	White
1900	1910/06/14	(Decimal('-73.120335'), Decimal('92.057782'))	A-	David Thornton	"0860 Cook Ports
Mannhaven, NV 20991"	Cantrell, Lawson and Lee	006-92-0744	M	White
1901	1936-06-12	(Decimal('30.4376085'), Decimal('-164.110641'))	A-	Christian Roberts	"PSC 4682, Box 3754
APO AE 75769"	Perez-Jackson	461-87-0150	M	black
1902	1973-10-27	(Decimal('-0.2125515'), Decimal('111.937961'))	O+	Kimberly Williams	"51458 Clarke Corners Apt. 013
Boydstad, WI 11508"	West-Garcia	711-77-5305	F	Black
1903	09/24/1986, 00:00:00	(Decimal('66.449493'), Decimal('-11.257634'))	A-	Henry Gonzales	"PSC 6137, Box 4464
APO AE 60438"	Miller and Sons	210-66-2619	M	Hawaiian
1904	1999-03-24	(Decimal('-28.354563'), Decimal('-92.468745'))	A-	Monica Palmer	"6234 Townsend Drive
Parsonsburgh, NC 62173"	Hicks LLC	696-19-9208	F	Black
1905	1921-08-09	(Decimal('65.758721'), Decimal('-138.474871'))	B+	Mr. Eric Sheppard	"83968 Chandler Roads Apt. 074
Jessicaland, SD 27656"	Smith-Perkins	642-13-1150	M	White
1906	04/18/2015, 00:00:00	(Decimal('7.425059'), Decimal('168.074916'))	A-	Tiffany Jennings	"956 Tucker Green Apt. 384
West Dustinhaven, MO 42847"	Bailey, Thomas and Anderson	287-99-3060	F	White
1907	1939/06/27	(Decimal('61.3520225'), Decimal('-89.088472'))	AB-	Michael Gilbert	"39891 Shannon Summit Apt. 601
Port Michaelland, CT 90570"	Green-Burns	065-22-0160	M	White
1908	1933-12-14	(Decimal('25.583691'), Decimal('162.035485'))	O+	Tina Curry	"4081 Julie Brooks Suite 720
Evelynfort, MS 24712"	Rowe, Juarez and Smith	214-65-5633	F	White
1909	1957-06-14	(Decimal('89.2090595'), Decimal('-113.953707'))	B+	Christopher Davis	"6566 Ferguson Road Suite 599
Sherriville, ND 30828"	Nunez, Boyd and Bryant	829-74-7104	M	White
1910	08 Feb 1915	(Decimal('-16.566895'), Decimal('57.407013'))	B-	Gary Hoffman	"211 Patton Route Suite 018
Wilsonmouth, SD 79824"	Johnson, Sullivan and Thompson	517-41-4331	M	Black
1911	2003/10/30	(Decimal('5.647039'), Decimal('-75.099791'))	B+	Adam Ruiz	"8727 Abbott Coves
Michaelbury, FL 05613"	Guzman LLC	362-16-6639	M	Hawaiian
1912	04/15/1917, 00:00:00	(Decimal('-14.1669875'), Decimal('-138.702364'))	B-	Robert Howard	"33078 John Brook Suite 697
Robertbury, WV 14055"	Curtis, Spencer and Evans	489-63-2241	M	Black
1913	27 Apr 2012	(Decimal('-83.647060'), Decimal('-117.123064'))	O+	Mike White	"8197 Haney Skyway Apt. 603
South Richard, ID 55485"	Huffman, Miles and Lyons	267-79-8163	M	Black
1914	1918-12-30	(Decimal('-47.6452825'), Decimal('-0.022848'))	O+	Michael Castillo	"1648 Tina Via Apt. 995
Port Calvin, MN 30061"	Jacobs Inc	898-06-1420	M	White
1915	2014-06-18	(Decimal('82.366621'), Decimal('-6.328597'))	AB+	Daniel Wilson	"4966 Owens Island Suite 785
New David, VA 38196"	Hodges, Thomas and Mathis	525-51-0432	M	White
1916	08 May 1947	(Decimal('-86.3926525'), Decimal('48.759984'))	A+	Christopher Smith	"83593 Brian Crossroad Apt. 083
West Lori, NJ 64834"	Mitchell Ltd	032-21-8728	M	Black
1917	03/26/1908, 00:00:00	(Decimal('-28.9882805'), Decimal('67.550524'))	AB-	Stephanie Martinez	"834 Joshua Mews
Kendraville, OR 08291"	Davis Group	378-69-1015	F	Black
1918	2019-07-05	(Decimal('-15.371578'), Decimal('96.645720'))	O+	Kenneth Ramirez	"6749 Meyer Cliff Apt. 810
Victoriafort, SD 42248"	Gonzalez Group	124-65-8707	M	Black
1919	01/11/1936, 00:00:00	(Decimal('-32.6279865'), Decimal('175.161588'))	B+	Martin Schroeder	"8330 Thomas Ports Suite 414
Markberg, HI 19212"	Short Group	618-10-3923	M	Black
1920	19 Apr 1971	(Decimal('-62.3882725'), Decimal('136.351479'))	AB-	Cheryl Norris	"285 Lori Viaduct Suite 437
Lake Donnachester, WY 58082"	Miller, Wood and White	897-87-7312	F	White
1921	1980-05-08	(Decimal('3.698854'), Decimal('-136.056147'))	AB-	Kevin Hopkins	"08540 Samuel Forks Suite 111
Michelleside, NH 17863"	Moran Inc	286-35-8887	M	White
1922	1966-08-24	(Decimal('67.2385205'), Decimal('79.926864'))	A-	Laurie Simmons	"USS Fitzgerald
FPO AE 61177"	Ewing, Garcia and Patrick	323-88-1631	F	White
1923	15 Dec 1952	(Decimal('5.712926'), Decimal('-115.043442'))	B-	Courtney Hamilton	"7804 Anita Motorway
North Sandraland, DC 71163"	Reese-Carroll	357-94-1465	F	Asian
1924	1977-12-03	(Decimal('-17.439808'), Decimal('52.466060'))	AB-	Morgan Reynolds	"3895 Vaughan Avenue Apt. 332
Port Debbie, NE 08730"	Francis-Hull	170-20-1075	F	Asian
1925	2014-10-02	(Decimal('59.0018295'), Decimal('-97.465348'))	B-	Kimberly Mendoza	"44680 Miller Dam
Lake Jessicamouth, ID 77183"	Lynch PLC	361-12-7812	F	White
1926	08/26/1962, 00:00:00	(Decimal('14.479296'), Decimal('-82.861969'))	AB-	Jason Aguilar	"518 Jasmine Loaf Suite 298
Lake Thomas, IA 07558"	Wagner, Cole and Weaver	086-44-6651	M	White
1927	2011-06-14	(Decimal('-66.4203645'), Decimal('60.041505'))	A+	Nancy Bowman	"88977 Oneal Street
Port Curtis, ND 64552"	Miller, Chavez and Perez	881-33-9977	F	Black
1928	02 Oct 1964	(Decimal('-18.005272'), Decimal('83.582407'))	A-	Anna Gonzalez	"78021 Rose Grove
North Heathertown, NM 78479"	Moore Group	087-74-0421	F	White
1929	12/21/1993, 00:00:00	(Decimal('2.041605'), Decimal('-47.561383'))	B-	Steve Aguilar	"4078 Bates Crossroad
Port Matthew, WI 22154"	Graham-Henderson	504-37-0254	M	White
1930	1920/09/30	(Decimal('88.680132'), Decimal('46.603244'))	AB+	Rachel Irwin	"2617 Christina Green Suite 699
Lawsonville, SC 10748"	Trujillo, Bender and Brown	749-73-3884	F	Hawaiian
1931	14 Sep 1951	(Decimal('10.3196435'), Decimal('-1.495076'))	A-	Erin Medina	"53950 Nancy Locks
Port Robintown, MT 01214"	Love, Kelly and Olsen	686-32-0533	F	White
1932	1948-09-30	(Decimal('-33.719306'), Decimal('74.704574'))	A-	Brian Mejia	"623 Woods Curve Apt. 019
Lake Dianeland, DC 45486"	Watkins-Clark	802-31-5048	M	Hawaiian
1933	2014/10/17	(Decimal('18.848907'), Decimal('-55.480258'))	O-	Jessica Jensen	"7686 Kyle Keys
North Stephanie, ME 19997"	Mack, Hansen and Miller	125-51-7076	F	Indian
1934	2013-05-29	(Decimal('12.285985'), Decimal('83.745294'))	B-	Robert Howell	"6069 Garrett Route
Tonyafort, HI 25899"	Mendoza PLC	245-10-7177	M	White
1935	1943-10-04	(Decimal('62.1153485'), Decimal('-160.360188'))	AB+	Crystal White	"USS Jenkins
FPO AE 26407"	Steele-Gonzales	597-27-6432	F	Black
1936	1936-10-13	(Decimal('32.600819'), Decimal('78.043568'))	B-	Jonathan Owens	"9597 Stephanie Loaf
Port Michael, TN 33821"	Baker and Sons	323-47-9695	M	White
1937	03/07/1988, 00:00:00	(Decimal('-59.560692'), Decimal('-0.943311'))	O+	Debra Griffin	"5311 Garcia Common
North Katherine, NY 52038"	Johnson-Cummings	731-56-9039	F	Asian
1938	09/16/2013, 00:00:00	(Decimal('-66.261358'), Decimal('-123.639408'))	AB-	Yesenia Walsh	"41254 Grimes Freeway
Bradfordhaven, SC 81365"	Dillon Group	764-87-8908	F	White
1939	1937-02-24	(Decimal('-68.737546'), Decimal('69.480350'))	A-	Candace Williams	"35820 Walton Mill
Clarkview, AL 32712"	Phillips, Spencer and Hunter	150-78-1692	F	White
1940	1930-02-01	(Decimal('-38.3865145'), Decimal('79.364616'))	A+	Savannah Jones	"00077 Reed Fort Suite 859
New Wendy, IN 47786"	Fields Group	513-20-3343	F	White
1941	01/22/2017, 00:00:00	(Decimal('-15.9710605'), Decimal('-77.290663'))	O+	Megan Davis	"PSC 9360, Box 7948
APO AA 72827"	Clark and Sons	336-41-8554	F	White
1942	05/21/1915, 00:00:00	(Decimal('-56.1570765'), Decimal('93.250194'))	O+	Heather Willis	"7490 Joshua Glens
Bishopberg, TX 99629"	Johnson-Garcia	263-55-0910	F	White
1943	11/17/1945, 00:00:00	(Decimal('-44.021313'), Decimal('22.326736'))	O-	William Coleman	"59087 Massey Stream
Port Kellyfurt, NH 12855"	Cook Ltd	137-49-9555	M	Hawaiian
1944	1910-02-11	(Decimal('7.2902795'), Decimal('48.727103'))	O+	Dr. Holly Hawkins	"954 Stanley Ports Apt. 209
Johnland, FL 43248"	Rogers Group	667-70-5752	F	White
1945	1989/04/12	(Decimal('-52.3834535'), Decimal('-18.834010'))	O+	Jeffrey Lee	"2732 Deborah Falls
Lake Jasminemouth, MD 93602"	Burke, Grant and Sherman	647-31-6890	M	Black
1946	1954/01/26	(Decimal('87.004418'), Decimal('-145.435875'))	B-	Lee Patrick	"1340 Klein Trafficway Apt. 772
North Brianfurt, MI 63205"	Thompson PLC	761-52-4072	M	Black
1947	06/11/2014, 00:00:00	(Decimal('-33.9519815'), Decimal('-19.211858'))	A-	Ryan Vargas	"602 Ronald Place Suite 243
North Colleen, RI 77608"	Clark, Jones and Yang	478-26-4528	M	White
1948	1939/06/16	(Decimal('69.565429'), Decimal('159.574038'))	A+	Joseph Bell	"79304 Kyle Branch
New Linda, VT 47938"	Tanner, Boyer and Chavez	276-91-8924	M	Indian
1949	30 Jun 1986	(Decimal('49.6281995'), Decimal('-78.843520'))	O+	Tiffany Stevens	"531 Blake Shoals
Martinchester, MI 49213"	Gallagher-Knight	784-09-7587	F	White
1950	14 May 1913	(Decimal('-84.2291965'), Decimal('128.674562'))	AB+	Shawn Hamilton	"0196 Johnson Plains
North Jonathanmouth, OR 52556"	Hoffman, Anderson and Frazier	818-40-6091	M	White
1951	1921-06-03	(Decimal('44.2282205'), Decimal('144.462761'))	AB+	Kelly Vasquez	"006 Walter Bypass Suite 769
Goodmanbury, WA 61358"	Charles-Clark	710-75-6783	F	Asian
1952	2005-02-04	(Decimal('35.0981225'), Decimal('38.276175'))	O+	Erik Yang	"70787 Julie Creek Apt. 963
Port Christine, IA 64334"	Jackson-Golden	114-61-2359	M	White
1953	1990/10/23	(Decimal('-51.439662'), Decimal('-79.076270'))	B-	Dennis Coleman	"56364 Derrick Field Suite 881
Port Keith, NH 74107"	Harris Ltd	183-53-6878	M	Asian
1954	1922/11/21	(Decimal('30.3633065'), Decimal('-17.973257'))	AB+	Daniel Hunt	"8585 Clark Parks Apt. 767
Seanhaven, ID 11260"	Dixon, Cole and Estrada	693-17-4052	M	Asian
1955	04/04/2010, 00:00:00	(Decimal('-40.6530705'), Decimal('-69.351675'))	O-	Steven Stephens	"700 Rivera Inlet
West Benjaminmouth, NH 04572"	Fisher-Webb	684-66-1900	M	Black
1956	1995-01-08	(Decimal('9.6771335'), Decimal('-133.007195'))	O-	Thomas Young	"1622 Kimberly Garden
West Stephen, MD 12122"	Vega Inc	167-39-2869	M	White
1957	2006/03/10	(Decimal('11.399596'), Decimal('-157.085058'))	O-	John Hawkins	"6146 Moore Roads
Campbellport, TN 33754"	Morgan, Bell and Thomas	614-36-0944	M	White
1958	1925/02/20	(Decimal('-60.678052'), Decimal('-113.248530'))	AB-	Benjamin Brown	"3302 Ivan Inlet
New Denise, SC 01207"	Gilmore LLC	004-99-2809	M	Black
1959	1911-01-13	(Decimal('31.894910'), Decimal('122.091911'))	O+	Andrea Taylor	"778 Smith Falls
North Timothyside, MD 35022"	Wheeler-Bean	728-63-9106	F	White
1960	2021-05-20	(Decimal('40.023324'), Decimal('-103.554399'))	A-	Cynthia Lane	"86443 William Lake Suite 925
Denisestad, NV 93519"	Smith Group	576-50-2634	F	White
1961	1920/04/11	(Decimal('-71.735555'), Decimal('-161.584999'))	O+	Matthew Ross	"251 Melanie Terrace Suite 229
New Charlestown, IL 03991"	Charles, Thomas and Lopez	260-51-6878	M	Black
1962	02/09/2014, 00:00:00	(Decimal('73.782729'), Decimal('23.771966'))	O+	Donna Barnes	"98473 Jennifer Ridge
Port Lindamouth, NE 52401"	Stewart-Galvan	553-90-0212	F	White
1963	1909/07/27	(Decimal('-29.5972085'), Decimal('52.141264'))	O+	Joshua Fowler	"679 Reynolds Tunnel
South Kevin, WY 51304"	Wyatt LLC	245-56-7265	M	White
1964	2013-02-22	(Decimal('-24.2591525'), Decimal('107.420731'))	A-	Michael Gomez	"0820 Kristen Route Apt. 953
Lake Michaelburgh, WI 23633"	Kim Group	448-03-6933	M	Asian
1965	03 Mar 1935	(Decimal('-52.571159'), Decimal('102.297505'))	O+	Lisa Brown	"USCGC Gomez
FPO AA 67361"	Tran, Ruiz and Nelson	135-74-1904	F	White
1966	20 Jun 2009	(Decimal('66.036324'), Decimal('-116.556793'))	AB+	Tiffany Davis	"7021 Raymond Ports Suite 383
East Christopherview, WA 16235"	Lewis-Thomas	721-20-7162	F	Black
1967	23 Jan 1941	(Decimal('55.8217775'), Decimal('43.294497'))	B+	Anna Stuart	"253 Myers Manors Suite 155
Meganbury, AK 05755"	Petersen-Macias	827-75-7532	F	Black
1968	13 Dec 1977	(Decimal('79.426178'), Decimal('28.967995'))	AB-	Nicole Lowe	"795 Stephen Via Apt. 308
North Zoemouth, MT 15786"	Ferguson LLC	652-70-8474	F	White
1969	1998-08-26	(Decimal('-44.261847'), Decimal('58.417141'))	O-	Jeremy Johnson	"4670 Terrence Falls
Pattersonland, IA 50125"	Bell-Joyce	316-22-4817	M	White
1970	1944/01/18	(Decimal('-26.332839'), Decimal('134.945547'))	A-	Jennifer Small	"382 Joseph Ways
Lake Timothy, ID 01699"	Nguyen-Morris	382-26-4864	F	white
1971	1905/10/15	(Decimal('40.1787795'), Decimal('-110.919524'))	B+	Sharon Hart	"54671 Kristine Club Apt. 303
Paulhaven, MT 61755"	Hess, Zamora and Larson	801-24-9025	F	White
1972	06/18/1954, 00:00:00	(Decimal('-68.9343415'), Decimal('26.438531'))	B-	Jerry Garcia	"287 Franklin Tunnel Suite 547
Martinhaven, LA 60951"	Rodriguez-Johnston	345-92-6406	M	Black
1973	12/02/2001, 00:00:00	(Decimal('-9.373184'), Decimal('17.498743'))	A+	Pamela Griffin	"580 William Plains
West Katherine, PA 46910"	Jenkins, Roach and Peck	157-64-2685	F	White
